Activity Id;Date;Type;Route Name;Distance (km);Duration;Average Pace;Average Speed (km/h);Calories Burned;Climb (m);Average Heart Rate (bpm);Friend's Tagged;Notes;GPX File
6227ea51-fae0-4ef9-9fa0-0ba6f1c9eb5b;07.09.2011 02:49;Running;Kleine Runde F'hain;2.52;16:00;06:21;9.45;87;4;147;;First time running after the last run crashed my knees and I couldn't walk for a week. Felt fine today, no pain.;2011-09-07-024900.gpx
3a6abacb-9664-4e10-afed-0f74a5981542;29.07.2013 02:24;Running;;4.95;31:24:00;06:21;9.46;305;51;122;;;2013-07-29-022402.gpx
73d30bf0-1ce8-447c-98b3-41dbf43f66ef;03.07.2014 18:08;Running;;8.57;54:32:00;06:22;9.42;544;66;160;;;2014-07-03-180824.gpx
bffb5fe3-3c22-41d7-9168-a88b8dc4960a;02.06.2013 21:55;Running;;22.03;02:20:17;06:22;9.42;1395;151;134;;;2013-06-02-215533.gpx
a7f61a04-ad8d-4ddb-822b-0a545511189f;17.01.2013 22:06;Running;;24.5;02:36:03;06:22;9.42;1529;181;134;;;2013-01-17-220633.gpx
b71ea62f-7c93-42fb-9b3b-f8336ab0a5f3;24.01.2018 20:22;Running;;6.38;40:38:00;06:22;9.43;439;56;130;;;2018-01-24-202223.gpx
9034eb06-c5c0-49bc-a9ff-8a6cd7c2e0d0;22.03.2014 13:44;Running;;6.16;39:14:00;06:22;9.43;264;15;146;;#118forboston;2014-03-22-134441.gpx
b21ab426-1505-4103-a8e9-6191123874c1;12.09.2018 20:44;Running;;2.85;18:08;06:22;9.44;172;16;135;;;2018-09-12-204417.gpx
bcb814a1-4cc5-4afe-be87-e1ae2b510d07;22.01.2016 11:03;Cycling;;88.63;09:26:15;06:23;9.39;3418;935;;;;2016-01-22-110315.gpx
2587dee2-acaf-4d10-b742-46066f43feb3;30.09.2015 08:32;Cycling;;22.71;02:25:07;06:23;9.39;878;180;;;;2015-09-30-083218.gpx
c69ae551-6401-44ba-8a9a-3d03049d0321;26.08.2013 02:23;Running;;16.12;01:42:56;06:23;9.39;981;137;159;;;2013-08-26-022345.gpx
320ed723-9fbd-454d-b421-cbf6c3487aa2;09.09.2013 00:15;Running;;6.45;41:21:00;06:25;9.35;400;58;154;;;2013-09-09-001522.gpx
fef5837b-05fa-487c-9760-0ced6df5673f;25.10.2012 20:36;Running;;10.15;01:05:08;06:25;9.35;650;54;158;;Bad time but steady speed with chatting and i am not feeling shitty. Yeah. ;2012-10-25-203617.gpx
02761475-2729-4550-ae16-c4c3b7316e5d;06.06.2012 05:34;Running;;4.42;28:24:00;06:26;9.32;368;48;112;;;2012-06-06-053420.gpx
03e96e50-49d0-4930-be8f-13f5b9206ea4;04.06.2015 18:29;Running;;4.71;30:20:00;06:26;9.33;342;89;151;;;2015-06-04-182929.gpx
b08cf439-28cf-466d-8ced-8f2fcbcacb31;11.05.2014 02:19;Running;;5.47;35:19:00;06:27;9.29;335;54;156;;;2014-05-11-021953.gpx
ee288529-bfcd-4498-a9ce-f72ea074b391;14.07.2014 02:56;Running;;5.14;33:08:00;06:27;9.3;329;52;114;;;2014-07-14-025609.gpx
daac46fb-42ce-4133-8b03-2ca4c5195183;03.06.2013 23:28;Running;;4.68;30:14:00;06:27;9.3;285;33;111;;;2013-06-03-232841.gpx
a3452573-4dff-4228-82f5-d1cb5ba786ef;08.02.2013 22:33;Running;;7.42;47:52:00;06:27;9.3;457;55;149;;Not well, first tun after sickness break. ;2013-02-08-223341.gpx
e13c6c7b-a123-4f2c-b3f5-e9026406e93b;25.09.2012 22:35;Running;;5.46;35:15:00;06:28;9.28;346;37;131;;What a sucky run. 3 days without training and i run like a child again.;2012-09-25-223505.gpx
23aa1295-f593-4277-a3a3-4f7e27320fd2;18.09.2016 19:01;Running;;7.44;48:03:00;06:28;9.29;515;49;152;;;2016-09-18-190123.gpx
608fb99e-80ee-49e0-aa0d-66e13d5fd672;26.02.2013 09:08;Running;;7.72;49:52:00;06:28;9.29;467;58;134;;;2013-02-26-090818.gpx
2522908e-cbe6-4f32-8ab8-340e115465d4;27.09.2012 18:52;Running;;10.02;01:04:44;06:28;9.29;671;55;118;;;2012-09-27-185202.gpx
d8f69b74-a698-4d49-b82c-1257ac228a2d;10.12.2016 09:45;Cycling;;1.75;11:22;06:29;9.24;84;83;;;;2016-12-10-094533.gpx
c7cf0c4f-00ed-4110-bbca-cf572bc25e74;29.06.2018 21:47;Running;;6.48;42:03:00;06:29;9.25;419;43;118;;;2018-06-29-214748.gpx
a05bb3b8-cf16-4bb6-91ff-e43805165c6f;23.03.2016 15:09;Cycling;;21.72;02:20:51;06:29;9.25;2120;1588;;;;2016-03-23-150945.gpx
48119118-246b-4aa4-9cda-f23f13ada812;27.01.2016 19:43;Running;;2;12:59;06:30;9.23;142;15;157;;;2016-01-27-194331.gpx
b11bac56-aa6c-4d70-8067-295d5d683e6c;01.09.2015 09:34;Cycling;;4.95;32:06:00;06:30;9.24;162;68;;;;2015-09-01-093420.gpx
68d33c20-2990-4d85-8ce9-7a7afb9ef4e7;17.11.2012 13:15;Running;;10.09;01:05:31;06:30;9.24;630;63;155;;;2012-11-17-131535.gpx
833b8c41-7f75-40e4-8bb8-716ce97c770e;10.08.2015 21:39;Running;;10.53;01:08:41;06:31;9.2;763;229;114;;;2015-08-10-213942.gpx
e13d90e1-a2c4-4c4e-99d3-d452bf0c4a91;28.06.2013 03:57;Running;;23.45;02:33:00;06:31;9.2;1454;200;131;;;2013-06-28-035730.gpx
35c26875-e527-4b43-8c53-567a9b33c1d0;29.04.2016 11:01;Cycling;;30.12;03:16:15;06:31;9.21;1128;206;;;;2016-04-29-110148.gpx
a224955b-bfaa-4e66-8cb9-ff3d2feeface;16.09.2015 21:34;Running;;3.32;21:36;06:31;9.21;237;43;112;Käsh,;;2015-09-16-213425.gpx
f3fcccc1-a600-4ce6-9275-8555a9e9a521;22.04.2016 15:12;Cycling;;40.83;04:26:44;06:32;9.18;1645;365;;;;2016-04-22-151237.gpx
bb7b5132-5fb8-498f-a880-48f93df69233;19.06.2013 06:04;Running;;8.85;57:45:00;06:32;9.19;537;65;111;;;2013-06-19-060455.gpx
